"subtype_decoded","Activity Counts_All Days","Activity Counts_Weekday","Activity Counts_Weekend","Activity Duration in Hours_All Days","Activity Duration in Hours_Weekday","Activity Duration in Hours_Weekend"
"CARE GIVING",0.131487889273356,0.105263157894737,0.2,0.576701268742791,0.540138224348751,0.672222222222222
"CIVIL ERRANDS",0.041522491349481,0.0478468899521531,0.025,0.0961168781237985,0.119617224880383,0.0347222222222222
"COMMUNITY & CULTURAL",0.0795847750865052,0.0813397129186603,0.075,0.167627835447905,0.178628389154705,0.138888888888889
"EDUCATION",0.169550173010381,0.229665071770335,0.0125,0.211457131872357,0.26581605528974,0.0694444444444444
"FOOD & MEAL",0.349480968858132,0.363636363636364,0.3125,0.383698577470204,0.3056884635832,0.5875
"FUN & LEISURE",0.273356401384083,0.239234449760766,0.3625,0.874279123414071,0.809144072301967,1.04444444444444
"HOME",2.16608996539792,2.20574162679426,2.0625,13.6670511341792,13.5374800637959,14.0055555555556
"MEDICAL & FITNESS",0.335640138408305,0.401913875598086,0.1625,0.645136485966936,0.75544922913344,0.356944444444444
"OTHER ACTIVITIES",1.17301038062284,1.11961722488038,1.3125,2.31449442522107,2.09782030834662,2.88055555555556
"RELIGIOUS & SPIRITUAL",0.0830449826989619,0.0956937799043062,0.05,0.307958477508651,0.399255715045189,0.0694444444444444
"SHOPPING ERRANDS",0.429065743944637,0.368421052631579,0.5875,0.258746635909266,0.278043593833068,0.208333333333333
"Total",5.80622837370242,5.85645933014354,5.675,21.5305651672434,21.5045188729399,21.5986111111111
"WORKPLACE",0.57439446366782,0.598086124401914,0.5125,2.02729719338716,2.21743753322701,1.53055555555556
