"subtype_decoded","Trip Counts_All Days","Trip Counts_Weekday","Trip Counts_Weekend","Trip Duration in Minutes_All Days","Trip Duration in Minutes_Weekday","Trip Duration in Minutes_Weekend","Trip Distance in Miles_All Days","Trip Distance in Miles_Weekday","Trip Distance in Miles_Weekend"
"BIKE",0.0242214532871972,0.0239234449760766,0.025,0.576701268742791,0.797448165869218,0,0.0084161712061206,0.0116376721462625,0
"BUS",0.301038062283737,0.354066985645933,0.1625,6.92041522491349,7.17703349282297,6.25,0.173196175371253,0.170824965365159,0.179390961512173
"CAR - DRIVER",1.38062283737024,1.33492822966507,1.5,21.3379469434833,23.1259968102073,16.6666666666667,1.48666557543007,1.55608336990711,1.30531158735879
"CAR - PASSENGER",0.709342560553633,0.703349282296651,0.725,21.3379469434833,23.1259968102073,16.6666666666667,0.943910538580517,0.550639686880467,1.9713306386469
"OTHER TRIPS",0.173010380622837,0.210526315789474,0.075,1.15340253748558,0.797448165869218,2.08333333333333,0.0302614628971889,0.0022284834527251,0.10349762169585
"RAIL",0.0761245674740484,0.0909090909090909,0.0375,1.73010380622837,2.39234449760766,0,0.0503531676227565,0.0696271073826633,0
"TAXI/UBER/LYFT",0.0968858131487889,0.100478468899522,0.0875,0.576701268742791,0.797448165869218,0,0.0478960641648839,0.0662294858547916,0
"Total",4.4878892733564,4.51196172248804,4.425,81.1764705882353,85.1355661881978,70.8333333333333,7.24174506121554,7.11651154471895,7.56891762306287
"VEHICLE",0.636678200692042,0.555023923444976,0.85,14.2791234140715,14.1626794258373,14.5833333333333,4.41934018359866,4.59796063707771,3.95269424888464
"WAIT",0.197231833910035,0.220095693779904,0.1375,2.30680507497116,1.59489633173844,4.16666666666667,0.0189479187732958,0.0255058702479777,0.00181527054568954
"WALK",0.892733564013841,0.91866028708134,0.825,10.957324106113,11.1642743221691,10.4166666666667,0.0627578035707905,0.0657742664040767,0.0548772944188301
