"trip_purpose","Trip Counts_All Days","Trip Counts_Weekday","Trip Counts_Weekend","Trip Duration in Minutes_All Days","Trip Duration in Minutes_Weekday","Trip Duration in Minutes_Weekend","Trip Distance in Miles_All Days","Trip Distance in Miles_Weekday","Trip Distance in Miles_Weekend"
"CARE GIVING",0.0934256055363322,0.062200956937799,0.175,1.15340253748558,1.59489633173844,0,0.0777901022676321,0.107566217968161,0
"CIVIL ERRANDS",0.0346020761245675,0.0430622009569378,0.0125,0,0,0,0,0,0
"COMMUNITY & CULTURAL",0.0726643598615917,0.062200956937799,0.1,0.576701268742791,0.797448165869218,0,0.0156434112580613,0.0216313198735872,0
"EDUCATION",0.14878892733564,0.200956937799043,0.0125,1.15340253748558,1.59489633173844,0,0.00781446308901889,0.0108056451326625,0
"FOOD & MEAL",0.280276816608997,0.301435406698565,0.225,5.76701268742791,6.37958532695375,4.16666666666667,0.138874613560985,0.122551168558325,0.181519613630432
"FUN & LEISURE",0.211072664359862,0.172248803827751,0.3125,2.88350634371396,1.59489633173844,6.25,0.0549040649946422,0.0505633056030637,0.0662442989051412
"HOME",1.22837370242215,1.23923444976077,1.2,20.0461361014994,19.7448165869218,20.8333333333333,1.18148432461492,0.647833130797534,2.57564806846285
"MEDICAL & FITNESS",0.314878892733564,0.37799043062201,0.15,9.80392156862745,12.7591706539075,2.08333333333333,0.333365370222262,0.373996065313232,0.227217679297103
"OTHER ACTIVITIES",0.965397923875433,0.92822966507177,1.0625,18.4544405997693,19.9362041467305,14.5833333333333,2.1164524364111,2.69045852134814,0.616861539513092
"RELIGIOUS & SPIRITUAL",0.069204152249135,0.0813397129186603,0.0375,0.576701268742791,0.797448165869218,0,0.0322125603897972,0.0445427270461789,0
"SHOPPING ERRANDS",0.397923875432526,0.339712918660287,0.55,7.49711649365628,7.17703349282297,8.33333333333333,0.311702357900978,0.347317935261048,0.218656662047796
"Total",4.4878892733564,4.51196172248804,4.425,81.1764705882353,85.1355661881978,70.8333333333333,7.24174506121553,7.11651154471895,7.56891762306287
"UNKNOWN",0.0968858131487889,0.0956937799043062,0.1,1.73010380622837,1.59489633173844,2.08333333333333,0.489878093979337,0.629714085889648,0.124556565113649
"WORKPLACE",0.57439446366782,0.607655502392344,0.4875,11.5340253748558,11.1642743221691,12.5,2.4816232625268,2.06953142192737,3.55821319609281
