"primary_mode","Trip Counts_All Days","Trip Counts_Weekday","Trip Counts_Weekend","Trip Duration in Minutes_All Days","Trip Duration in Minutes_Weekday","Trip Duration in Minutes_Weekend","Trip Distance in Miles_All Days","Trip Distance in Miles_Weekday","Trip Distance in Miles_Weekend"
"BIKE",0.0173010380622837,0.0191387559808612,0.0125,0.576701268742791,0.797448165869218,0,0.0084161712061206,0.0116376721462625,0
"BUS",0.131487889273356,0.157894736842105,0.0625,7.49711649365628,7.97448165869218,6.25,0.173196175371253,0.170824965365159,0.179390961512173
"CAR - DRIVER",0.370242214532872,0.349282296650718,0.425,21.9146482122261,23.9234449760766,16.6666666666667,1.50096282458071,1.57585325031159,1.30531158735879
"CAR - PASSENGER",0.301038062283737,0.296650717703349,0.3125,21.9146482122261,23.9234449760766,16.6666666666667,0.943910538580517,0.550639686880467,1.9713306386469
"OTHER TRIPS",0.069204152249135,0.0813397129186603,0.0375,1.15340253748558,0.797448165869218,2.08333333333333,0.0302614628971889,0.0022284834527251,0.10349762169585
"RAIL",0.0380622837370242,0.0430622009569378,0.025,2.30680507497116,3.18979266347687,0,0.0523269269445838,0.0723563726649987,0
"TAXI/UBER/LYFT",0.0588235294117647,0.062200956937799,0.05,0.576701268742791,0.797448165869218,0,0.0478960641648839,0.0662294858547916,0
"Total",1.56401384083045,1.58851674641148,1.5,82.9065743944637,87.5279106858054,70.8333333333333,7.24174506121554,7.11651154471895,7.56891762306287
"VEHICLE",0.166089965397924,0.162679425837321,0.175,13.7024221453287,13.3652312599681,14.5833333333333,4.40504293444801,4.57819075667323,3.95269424888464
"WAIT",0.0899653979238754,0.0861244019138756,0.1,2.88350634371396,2.39234449760766,4.16666666666667,0.0189479187732958,0.0255058702479777,0.00181527054568954
"WALK",0.321799307958477,0.330143540669856,0.3,10.3806228373702,10.3668261562998,10.4166666666667,0.0607840442489631,0.0630450011217413,0.0548772944188301
